OID,Shape_Length
1,100
2,99.99900001
3,99.99800002
4,99.99700004
5,99.99600008
6,99.99500012
7,99.99400018
8,99.99300024
9,99.99200032
10,99.9910004
11,99.9900005
12,99.9890006
13,99.98800072
14,99.98700084
15,99.98600098
16,99.98500112
17,99.98400128
18,99.98300144
19,99.98200162
20,99.9810018
21,99.980002
22,99.9790022
23,99.97800242
24,99.97700264
25,99.97600288
26,99.97500312
27,99.97400338
28,99.97300364
29,99.97200392
30,99.9710042
31,99.9700045
32,99.9690048
33,99.96800512
34,99.96700544
35,99.96600578
36,99.96500612
37,99.96400648
38,99.96300684
39,99.96200722
40,99.9610076
41,99.960008
42,99.9590084
43,99.95800882
44,99.95700924
45,99.95600968
46,99.95501012
47,99.95401058
48,99.95301104
49,99.95201152
50,99.951012
51,99.9500125
52,99.949013
53,99.94801352
54,99.94701404
55,99.94601458
56,99.94501512
57,99.94401568
58,99.94301624
59,99.94201682
60,99.9410174
61,99.940018
62,99.9390186
63,99.93801922
64,99.93701984
65,99.93602048
66,99.93502112
67,99.93402178
68,99.93302244
69,99.93202311
70,99.9310238
71,99.93002449
72,99.9290252
73,99.92802591
74,99.92702664
75,99.92602737
76,99.92502812
77,99.92402887
78,99.92302964
79,99.92203041
80,99.9210312
81,99.92003199
82,99.9190328
83,99.91803361
84,99.91703444
85,99.91603527
86,99.91503611
87,99.91403697
88,99.91303783
89,99.91203871
90,99.91103959
91,99.91004049
92,99.90904139
93,99.90804231
94,99.90704323
95,99.90604417
96,99.90504511
97,99.90404607
98,99.90304703
99,99.902048
100,99.90104899
101,99.90004998
102,99.89905099
103,99.898052
104,99.89705303
105,99.89605406
106,99.89505511
107,99.89405616
108,99.89305722
109,99.8920583
110,99.89105938
111,99.89006048
112,99.88906158
113,99.8880627
114,99.88706382
115,99.88606496
116,99.8850661
117,99.88406725
118,99.88306842
119,99.88206959
120,99.88107078
121,99.88007197
122,99.87907318
123,99.87807439
124,99.87707561
125,99.87607685
126,99.87507809
127,99.87407935
128,99.87308061
129,99.87208189
130,99.87108317
131,99.87008446
132,99.86908577
133,99.86808708
134,99.86708841
135,99.86608974
136,99.86509108
137,99.86409244
138,99.8630938
139,99.86209518
140,99.86109656
141,99.86009795
142,99.85909936
143,99.85810077
144,99.8571022
145,99.85610363
146,99.85510507
147,99.85410653
148,99.85310799
149,99.85210947
150,99.85111095
151,99.85011244
152,99.84911395
153,99.84811546
154,99.84711699
155,99.84611852
156,99.84512006
157,99.84412162
158,99.84312318
159,99.84212475
160,99.84112634
161,99.84012793
162,99.83912954
163,99.83813115
164,99.83713277
165,99.83613441
166,99.83513605
167,99.8341377
168,99.83313937
169,99.83214104
170,99.83114272
171,99.83014442
172,99.82914612
173,99.82814784
174,99.82714956
175,99.82615129
176,99.82515304
177,99.82415479
178,99.82315655
179,99.82215833
180,99.82116011
181,99.8201619
182,99.81916371
183,99.81816552
184,99.81716734
185,99.81616918
186,99.81517102
187,99.81417287
188,99.81317474
189,99.81217661
190,99.81117849
191,99.81018039
192,99.80918229
193,99.8081842
194,99.80718613
195,99.80618806
196,99.80519
197,99.80419195
198,99.80319392
199,99.80219589
200,99.80119787
